Project,Client,Title,Duration
,,recordei测试admin查看报告,00:28:23
,,recordid测试upgrate，普通用户点击评价后，如果评价过就会加载以前评价表单,00:52:53
,,下载测试,00:32:01
,,修复刷新导致的数据丢失问题,00:11:27
,,前端省评页面修改script部分,00:32:37
,,前端省评页面具体修改,00:35:01
,,前端省评页面具体修改表内,00:33:21
,,前端自我评价部分的上传更新，与新的post相匹配,00:26:33
,,前端自我评价部分的上传更新，与新的post相匹配2,00:08:34
,,前端自我评价部分的更新，与后端相匹配,00:19:25
,,后端record模型-index,00:10:17
,,后端record模型-show #open状态下可修改，admin可修改所有,00:27:26
,,后端record模型-upgrate(admin先不改)，destroy,00:30:00
,,后端record模型-验证用户是否匿名用户,00:20:31
,,后端写个导出工程评价,00:28:01
,,后端模型的controller-前端返回参数验证过滤,01:26:45
,,后端验证当前打分人是否之前打过,00:18:53
,,将前端评价打分改为组件,00:06:35
,,将前端评价打分改为组件2,00:46:19
,,将前端评价打分改为组件3，把upgrate接口对应,00:43:31
,,"将前端评价打分改为组件4-传入被评价id,模型id,评价者id或者匿名info",00:25:34
,,测试recordid功能,00:06:36
,,添加一个省评价打分页面,00:11:37
,,表单修改总分不刷新问题,00:04:43
,,表单修改总分不刷新问题，按钮样式，去掉普通用户的等级显示,00:07:53
